gene_id,a.value,m.value,p.value,q.value,rank,estimatedDEG
"EPGN",4.3991550080785,3.85084191379441,3.37100522310933e-11,2.73894174377633e-07,1,1
"ITGB3",3.18204293115573,2.9092292311171,3.26909254503504e-10,1.02174716754843e-06,2,1
"WNT5A",7.22729050006385,1.85174207630705,4.3905430740988e-10,1.02174716754843e-06,3,1
"ASPN",3.49955072956051,-3.43690305366703,5.03013990177689e-10,1.02174716754843e-06,4,1
"AKR1B1",6.30984436864748,2.01592622146414,6.53601576296783e-10,1.06210256148227e-06,5,1
"TIMP1",9.42670007377685,2.46858766290129,1.57263722668917e-09,2.12961291114158e-06,6,1
"UBE2C",2.19910518361761,4.56705553419322,2.10245373542333e-09,2.24853791529522e-06,7,1
"PCOLCE2",2.89948932221138,3.28431855507642,2.3693708713486e-09,2.24853791529522e-06,8,1
"LIMS2",3.23088904740613,-2.32777736949581,2.49068815232701e-09,2.24853791529522e-06,9,1
"SERPINE2",8.33894356784199,2.03371170506524,2.97833878576297e-09,2.28697374646034e-06,10,1
"PTTG1",2.61612925484788,3.23087148838212,3.09621061059246e-09,2.28697374646034e-06,11,1
"COL7A1",5.6294731804547,2.53188644286276,4.6114429812861e-09,3.1223311852458e-06,12,1
"CCNB2",1.86774197798826,3.62183597900094,5.30676725370723e-09,3.31672953356702e-06,13,1
"NQO1",8.36395759657612,1.77443034973033,6.22929510864621e-09,3.4174090084166e-06,14,1
"PGD",7.70025095309989,1.53556209714003,6.49496658679009e-09,3.4174090084166e-06,15,1
"SRXN1",5.85638721896005,1.74764321669269,7.11511114985028e-09,3.4174090084166e-06,16,1
"TAGLN2",6.94085163366219,1.71544583203468,7.15027115607165e-09,3.4174090084166e-06,17,1
"SDC1",5.4412707815806,2.40580916359402,7.87001250551723e-09,3.55243620040708e-06,18,1
"TXNIP",4.28159631223833,-4.99833885234269,9.65471983384172e-09,4.12866308684021e-06,19,1
"SRPX2",3.22692206731609,3.27789489878126,1.14344282547608e-08,4.64523647849658e-06,20,1
"SPRY2",4.72693970429049,2.29057888435625,1.26347351031721e-08,4.75236516125612e-06,21,1
"HAPLN1",6.84479408904855,-1.95753213252413,1.28679425904781e-08,4.75236516125612e-06,22,1
