gene_id,a.value,m.value,p.value,q.value,rank,estimatedDEG
"CEMIP",13.4081844821864,1.19126793322899,4.95277846900503e-19,8.00319472806522e-15,1,1
"THBS1",16.5751237320745,0.322616054593542,8.10267096849623e-15,6.54655300899653e-11,2,1
"TNFRSF11B",11.3861336984597,0.709949582403212,2.12918304887701e-14,1.14684896289345e-10,3,1
"CALD1",13.8111300633923,0.491049859676059,3.45560123588964e-14,1.37682843775628e-10,4,1
"FGF7",9.7973632788451,0.803011690281414,4.26025260769937e-14,1.37682843775628e-10,5,1
"CCN1",11.875603338797,0.629364708104516,7.95326506227562e-14,2.14194683568853e-10,6,1
"STC1",11.3649060900856,0.583075625679507,4.23669666615813e-13,9.32651420880335e-10,7,1
"ATP8B1",10.5618076018547,0.621053217616264,4.61737197044537e-13,9.32651420880335e-10,8,1
"CXCL8",6.71840135816134,2.18639226900766,6.29787129772691e-13,1.04937549054724e-09,9,1
"GPR176",10.4401638167248,0.564159256370065,6.4940620740593e-13,1.04937549054724e-09,10,1
"HSPB7",9.4668709245933,0.828273821952713,1.29209793272954e-12,1.8980918631797e-09,11,1
"ACTG1",15.4447078577618,0.284331172558058,3.23030784202269e-12,4.34987870160372e-09,12,1
"SLC7A11",8.90444228786835,-0.658106411657407,7.15660298704598e-12,8.89565751289816e-09,13,1
"TMEM47",11.1280746759151,0.595002265656017,8.73704017041879e-12,1.00844165795569e-08,14,1
"TGM2",11.6875547905997,0.603823497862084,9.39937933485693e-12,1.01256380447969e-08,15,1
"LOXL4",11.8556246102247,0.45654409991957,1.42052987650992e-11,1.43464639215774e-08,16,1
"SOD2",11.5417965926592,0.878265454560793,1.52240275882856e-11,1.44708859881827e-08,17,1
"TFRC",10.7186716832768,0.593646947132605,2.06034204949634e-11,1.81165845363162e-08,18,1
"RGMB",12.8549857481669,0.362579438420388,2.13017579175696e-11,1.81165845363162e-08,19,1
"PALLD",11.3004158844515,0.434960057703696,2.54596576637985e-11,2.0570130409466e-08,20,1
"PLOD2",10.4197574301536,0.426014513345857,3.79455542309561e-11,2.91982005151438e-08,21,1
"TAGLN",12.9235081857981,0.445700254538419,4.4541761783455e-11,3.27159240299477e-08,22,1
"CCN2",10.2417894919108,0.636955815210721,5.91039515766609e-11,4.15243805881419e-08,23,1
"COL11A1",9.92012284992083,0.539183417707234,7.51956676164879e-11,5.06286163756178e-08,24,1
"MYADM",11.3870685468842,0.548988578644154,8.45945456403405e-11,5.46785305200905e-08,25,1
"LIMA1",11.0684901297267,0.411987546073258,9.40181326143615e-11,5.84322694198257e-08,26,1
"ARID5B",9.99867438202468,0.425322150758186,9.98629730490312e-11,5.97661400555295e-08,27,1
"CPED1",10.9171390167587,0.403549988391035,1.29580361617596e-10,7.30422150718978e-08,28,1
"MYOF",13.6093604438052,0.273798422550609,1.31086344271616e-10,7.30422150718978e-08,29,1
"MASP1",10.107384895315,0.458790957941032,1.84332697237013e-10,9.59606855247282e-08,30,1
"NEDD9",7.69381920649265,0.926385481135594,1.89320700375894e-10,9.59606855247282e-08,31,1
"PREX1",9.90045594862182,-0.474236957443919,1.90032918917712e-10,9.59606855247282e-08,32,1
"RAB3B",12.2895026550891,0.371023792507492,2.23876353105964e-10,1.09624787570887e-07,33,1
"PSAT1",10.2018487787687,-0.412466372136816,2.44422992328869e-10,1.16165621560064e-07,34,1
"AKR1C2",9.00298246914639,-0.591432967635464,2.55043234427963e-10,1.17749817860613e-07,35,1
"FRMD6",12.7761171857763,0.327828949336409,3.63091373332352e-10,1.62977597268819e-07,36,1
"CRIM1",11.6320695626006,0.355306735997823,4.21866983876817e-10,1.84241853850419e-07,37,1
"DDAH1",11.3511836043172,0.383336879100533,5.14079499241514e-10,2.18605542848517e-07,38,1
"IL1B",5.35035193252507,1.91950633909623,5.48247124411011e-10,2.27157058547629e-07,39,1
"FN1",18.3329910870316,0.173302767847161,6.0779529215219e-10,2.42414590828398e-07,40,1
"ASNS",8.75858173785412,-0.459654362444789,6.65566086854511e-10,2.42414590828398e-07,41,1
"STEAP3",11.3243931250316,-0.363466057602826,6.70249906859911e-10,2.42414590828398e-07,42,1
"GPR68",8.69150140050184,-0.621468459119271,6.75413424434465e-10,2.42414590828398e-07,43,1
"NIBAN1",11.2133507150695,-0.334650692396371,6.75524421443994e-10,2.42414590828398e-07,44,1
"ARNT2",9.93562977323511,0.553108202713412,6.85849815111103e-10,2.42414590828398e-07,45,1
"POSTN",13.9869519925664,-0.338434193957877,6.90084236531116e-10,2.42414590828398e-07,46,1
"KCNJ2",8.35870325459108,0.671693377000759,7.16004743768098e-10,2.46168524564866e-07,47,1
"VCL",13.3813944404021,0.271975671302577,7.56048845275845e-10,2.54520693558591e-07,48,1
"IFITM1",8.71582928801057,0.790461970216448,9.38487936366566e-10,3.01919723588992e-07,49,1
"STC2",11.2827911660974,0.398895864493518,9.4187448646377e-10,3.01919723588992e-07,50,1
"SLC20A1",12.5328981613797,-0.474749706255265,9.52899678385952e-10,3.01919723588992e-07,51,1
"LMO7",11.5521042801961,0.344944604873726,1.31017305403247e-09,4.07136276540591e-07,52,1
"CLIC4",13.013730212191,0.267708829378364,1.36205928476238e-09,4.15273886461798e-07,53,1
"LINC00968",8.3577394329212,0.704320424224282,1.47841187945818e-09,4.42401065928978e-07,54,1
"CZ1P-ASNS",8.78792927281819,-0.460790954618385,1.55977121762972e-09,4.58260783739613e-07,55,1
"MYL12A",11.9804269050698,0.348108839435589,1.60847833720269e-09,4.64132168765327e-07,56,1
"IFITM3",11.3950341797782,0.342477467983596,1.72505982226437e-09,4.89039327508244e-07,57,1
"KCNK2",10.9798362997801,0.312275891833124,1.83938563537633e-09,5.12459180724934e-07,58,1
"LMOD1",7.56469756039845,1.18891490311092,1.90375391866228e-09,5.21402704604471e-07,59,1
"DAB2",12.3799632204015,0.290100552371605,1.984977778748e-09,5.28260944354624e-07,60,1
"FBXO32",11.5167621859195,0.38144164732555,1.99417770936519e-09,5.28260944354624e-07,61,1
"FST",8.94132358715738,0.592837834204961,2.05275368644004e-09,5.35007206761043e-07,62,1
"OGFRL1",10.3719371872018,0.37180513928072,2.35445680041081e-09,6.03899483140289e-07,63,1
"FZD1",10.9631006701823,-0.353526767653209,2.41411491091952e-09,6.09526294461697e-07,64,1
"NNMT",9.90633797562853,0.344290510371625,2.83164779565959e-09,7.03947642000974e-07,65,1
"PICALM",11.5978016958457,0.290732653634024,2.87737456262462e-09,7.04477205415928e-07,66,1
"CNN2",11.5929247220786,0.335746936721582,2.93431772151243e-09,7.07696120327155e-07,67,1
"LBH",8.25466839959953,0.639809121277551,3.08260810361e-09,7.32527416856383e-07,68,1
"ADGRG1",5.98700428674032,-1.31747696182353,3.15170413449005e-09,7.3710466757144e-07,69,1
"FGF5",10.842117226758,0.333163654155378,3.19310147472002e-09,7.3710466757144e-07,70,1
"STMN2",9.20966734418397,0.440319402205356,3.37621970566104e-09,7.68399073574321e-07,71,1
"PCDH18",11.7025808171863,0.344783420341138,3.54008332076751e-09,7.94502866392808e-07,72,1
"NEXN",8.4434561260703,0.547784437362823,3.59645571524583e-09,7.96097642502155e-07,73,1
"DRAM1",10.0766167376659,0.368428510700172,3.75526446947224e-09,8.20017818408134e-07,74,1
"BICC1",10.818452703827,0.383604595376475,3.89718975416897e-09,8.39662523168218e-07,75,1
"THBD",10.5648625179538,-0.36783256940679,4.20227024114893e-09,8.93480063509547e-07,76,1
"ALDH3A2",10.5152650904431,-0.457183475300466,4.40914497325698e-09,9.25290566530643e-07,77,1
"RECK",11.2562080184111,0.323882203159858,4.74840959124797e-09,9.83712186986872e-07,78,1
"CITED2",11.0763149552574,0.425865006112897,5.2269140842683e-09,1.06913550237584e-06,79,1
"SRGN",8.53870333989368,0.558767271010975,6.10512038745503e-09,1.2211464707053e-06,80,1
"TENM2",9.2813894403689,0.403922589458396,6.16200960241589e-09,1.2211464707053e-06,81,1
"WFDC1",6.62318487897898,1.23532615606257,6.19679501193359e-09,1.2211464707053e-06,82,1
"SORT1",9.0581590431531,0.569756055501189,7.74278714518838e-09,1.49445339609417e-06,83,1
"ATP2A2",12.9899391838316,0.236989284768734,7.7686790811257e-09,1.49445339609417e-06,84,1
"VGLL3",11.0725915678448,0.394913490080139,7.9847534316598e-09,1.51794859649636e-06,85,1
"COL14A1",8.40337256941825,-0.789697123141,8.33663570707366e-09,1.56641507430934e-06,86,1
"KCTD12",12.0575963868106,-0.291162314876303,8.75968650706564e-09,1.62698591112269e-06,87,1
"TIMP1",14.4228754455875,0.229182898172098,1.00289308875619e-08,1.84156243422854e-06,88,1
"EPAS1",12.0318402741626,0.30871416472538,1.11604934973758e-08,2.00414070174426e-06,89,1
"GRAMD2B",9.46859622820333,0.475471859271071,1.12220039184522e-08,2.00414070174426e-06,90,1
"HMOX1",10.7748992647533,-0.588074710073315,1.13203515741901e-08,2.00414070174426e-06,91,1
"ALCAM",10.214061567127,0.382239681248631,1.14104180060939e-08,2.00414070174426e-06,92,1
"CCBE1",10.9242246803974,0.366646171036816,1.26250867001676e-08,2.19364275255923e-06,93,1
"GBP1",8.83417072414607,0.453883616974224,1.28803609579921e-08,2.21418885872547e-06,94,1
"INHBA",10.7770475852996,0.342361734276128,1.383494934398e-08,2.35325206788813e-06,95,1
"KLF6",11.7868228811321,0.296103514898485,1.4974715156216e-08,2.52058773134682e-06,96,1
"CCDC9B",9.37610356573969,0.306266929731613,1.53599822141293e-08,2.55878301647542e-06,97,1
"TPM1",12.4456297142796,0.259922625138113,1.60736917008896e-08,2.65035494076198e-06,98,1
"PTX3",9.53061579381703,0.385148835857317,1.62779295263804e-08,2.65691983047254e-06,99,1
"ACKR4",10.1127660125871,0.437328166533106,2.06053961596717e-08,3.32962596544135e-06,100,1
"STAT1",12.0075725769454,0.258401543132083,2.1941670331849e-08,3.51045000883512e-06,101,1
"ITPR1",7.60456738017116,-0.5568355446642,2.24688874010904e-08,3.55955638739431e-06,102,1
"ENPP1",9.61309697633051,0.477887038785319,2.60173449361846e-08,4.08169200799812e-06,103,1
"APLP2",14.2309375440576,0.161947953144153,2.67217868739212e-08,4.15189763553551e-06,104,1
"IARS",11.8819321687747,-0.257135932852748,2.77835524657138e-08,4.27575642184256e-06,105,1
"CLDN11",10.452947842669,-0.312729680041492,3.03881385746314e-08,4.63247104931575e-06,106,1
"NPR3",7.13136168816361,0.759665958220764,3.35340088904045e-08,5.03377231483686e-06,107,1
"PFKFB3",10.6943285779198,-0.263302293679905,3.36436295564317e-08,5.03377231483686e-06,108,1
"CAP1",12.7422399922176,0.20481063720292,3.63965111978292e-08,5.34326793351902e-06,109,1
"CSRP1",10.8063432373052,0.293172582437549,3.64131001477903e-08,5.34326793351902e-06,110,1
"MYLK",10.7454049268659,0.292859310929021,3.6704173563996e-08,5.34326793351902e-06,111,1
"MSMO1",10.0798481189027,0.339041262366704,3.78615696212613e-08,5.42601172118058e-06,112,1
"FSTL1",13.7821983764647,0.194101417087653,3.79441379103537e-08,5.42601172118058e-06,113,1
"HMGCS1",9.72306303019937,0.321974090470826,3.84563379302789e-08,5.45101723346822e-06,114,1
"PTGS2",7.63167999345837,0.731340662752466,3.92200277889515e-08,5.51092546992754e-06,115,1
"SIRPA",9.36932201103543,0.392041759699563,4.36620707840598e-08,6.08220173965192e-06,116,1
"ANGPT1",7.38278830371281,0.731735454749922,4.64529701114372e-08,6.41567131650182e-06,117,1
"MGLL",12.7260993332374,0.242861132781828,5.03654553335337e-08,6.89707959944552e-06,118,1
"GJA1",13.2689813448828,0.222942897777015,5.10756313824043e-08,6.93555569334681e-06,119,1
"ERBIN",10.4602043257395,0.237018228007377,5.26067676995483e-08,7.083939660475e-06,120,1
"MSX1",8.50873510872927,-0.607542871622311,5.34292904373385e-08,7.08547303429181e-06,121,1
"UGCG",9.98452581441747,0.289235572816738,5.34951240908225e-08,7.08547303429181e-06,122,1
"XPOT",11.357703837031,-0.297791280390785,5.61720178444067e-08,7.37954175892494e-06,123,1
"EMP2",10.3911800191996,0.243900110522809,5.7556057524633e-08,7.50038978661729e-06,124,1
"SLC6A6",10.5519800522913,-0.273403495217662,5.97087027171115e-08,7.7000183122166e-06,125,1
"GABARAPL1",9.03517207579587,0.382958377772255,6.00409869013733e-08,7.7000183122166e-06,126,1
"FADS3",8.45870575360134,0.475098913086693,6.51238215947974e-08,8.22459419428665e-06,127,1
"OXTR",6.97189591559465,0.740025440369758,6.51493320668786e-08,8.22459419428665e-06,128,1
"AMOTL2",10.7195660162293,0.320839754793008,6.68436594914676e-08,8.33931837312272e-06,129,1
"VMP1",10.2145528450404,0.305840100191794,6.7564042565857e-08,8.33931837312272e-06,130,1
"FADS1",10.5861152709118,0.287285989669002,6.7606331263016e-08,8.33931837312272e-06,131,1
"SLC35F5",10.7084748715057,0.276755639549148,7.22549734271003e-08,8.8452129970342e-06,132,1
"HDAC5",9.71962571790792,0.414741644183962,7.49504488527454e-08,9.10619776700386e-06,133,1
"PTTG1IP",11.3651887180647,0.266462984016952,7.75233706774514e-08,9.34850855803685e-06,134,1
"ITGA8",11.2320411618505,0.25574677957888,7.81128063925019e-08,9.34981361849214e-06,135,1
"CHN1",8.94296553942978,0.370538841523357,8.13857375671293e-08,9.66994215696502e-06,136,1
"MALAT1",15.3743189387828,0.401952328784843,8.34475742873205e-08,9.84255002123221e-06,137,1
"FOSL2",10.5795363353453,0.257810198237843,8.59622184484464e-08,1.00656774486119e-05,138,1
"RGS4",8.26304005783683,0.479470234267394,8.86428106407739e-08,1.01963184296081e-05,139,1
"CRYBG1",10.1888825235855,-0.32237633660065,8.89099330412142e-08,1.01963184296081e-05,140,1
"AKR1C1",10.6355263360123,-0.392441837413221,8.89709077650067e-08,1.01963184296081e-05,141,1
"PDE7B",8.55496361103824,0.424086959021016,1.00666323429672e-07,1.14554022556343e-05,142,1
"PGF",9.46949584476235,-0.391888365405496,1.01410500597575e-07,1.1459386567526e-05,143,1
"FADS2",10.9261983607542,0.34550088728764,1.18719529853372e-07,1.33221450201433e-05,144,1
"PAM",12.4458952133694,0.214388962277122,1.26437488836321e-07,1.40903681524559e-05,145,1
"CDC20",10.0651468624715,-0.37286507934663,1.34639441533749e-07,1.49016351763277e-05,146,1
"ANTXR1",12.1511729267558,0.232831391142621,1.36555820760482e-07,1.50109218208751e-05,147,1
"FHOD1",9.35214234026596,-0.31354860149426,1.38195930121433e-07,1.508167644585e-05,148,1
"SPARC",13.8445089872234,0.183036173445355,1.39066142114713e-07,1.508167644585e-05,149,1
"SLC6A15",9.08486303097698,-0.400994141763682,1.4111197877243e-07,1.52015230998913e-05,150,1
"MYO1C",12.2123518620688,0.244396979444364,1.42055675920838e-07,1.5201838855661e-05,151,1
"CCN3",9.70323644771758,-0.255790211785323,1.43901675485633e-07,1.52980735142917e-05,152,1
"GNB4",10.8728615183358,0.206791955692111,1.52920031050534e-07,1.61505541290561e-05,153,1
"OLFML2B",10.6253726520405,-0.35161749084943,1.59346799856617e-07,1.67200320706694e-05,154,1
"SEMA3C",11.4346334336006,0.260300937958753,1.66610389439655e-07,1.73694018255187e-05,155,1
"SDC1",11.6111633891447,-0.306558649261245,1.70341893638285e-07,1.76445811493657e-05,156,1
"ADAMTSL4",8.99681948203454,0.388351735365255,1.75276330024881e-07,1.80400650756181e-05,157,1
"MYL6",12.9574536253314,0.237589083510763,1.76893077637845e-07,1.80912357060122e-05,158,1
"RHOBTB1",7.89013858004214,0.515115355552254,1.80405942906412e-07,1.83344630907215e-05,159,1
"ACTR3",12.401210889134,0.198112585978016,1.82004898847418e-07,1.83813572529714e-05,160,1
"WNT5A",12.0121107558578,0.231858960856172,1.85400484184814e-07,1.86079902108225e-05,161,1
"MED13L",10.7173875450174,0.234044475899911,1.89677764413068e-07,1.89070969302736e-05,162,1
"ZNF217",9.75103759940473,0.297642051696407,1.90720762400805e-07,1.89070969302736e-05,163,1
"C1orf198",10.8342626012792,0.354517869129412,1.93410484463649e-07,1.90568293807811e-05,164,1
"FRY",7.9693287281578,0.572576016622905,1.99906700169716e-07,1.95775295032875e-05,165,1
"MYL9",11.8193398262964,0.300035058622514,2.20484987009114e-07,2.14073613808828e-05,166,1
"CIT",10.7513036582789,-0.262081187584798,2.21240754415955e-07,2.14073613808828e-05,167,1
"MYH9",14.6767235470813,0.17513771488977,2.27414399388725e-07,2.18737457126334e-05,168,1
