"","empty2D1","empty2D2","empty2D3","DHT2D1","DHT2D2","DHT2D3"
"MT-CO1",11340.96,11256.76,10466.58,12499.35,11217.04,12099.36
"FTH1",10254.45,10285.94,9515.94,11019.4,10456.71,10430.26
"MT-CO3",4071.3,4730.31,3921.83,6165,5562.8,5781.64
"FN1",3625.91,3395.32,3067.73,5888.86,5615.85,6127.65
"MT-CO2",3909.17,4153.29,3887.87,5415.99,4610.01,4795.51
"MT-ATP6",3532.48,4052.54,3557.15,5442.16,4673.2,4810.96
"EEF1A1",4106.18,4300.61,3949.35,4028.96,4176.19,4323.41
"FTL",3992.55,3832.49,3630.99,4577.14,4317.15,4373.48
"MT-ND4",3500.83,3769.2,3469.86,4930.82,4161.57,4293.96
"MT-ND2",2400,2745.83,2429,3829.88,3466.77,3510.72
"MT-CYB",2752.32,3190.18,2874.42,3232.23,2848.88,2874.09
"VIM",2355.62,2115.79,2161.19,3344.03,3055.53,3131.07
"SPARC",2885.06,3136.46,3058.45,1734.56,1809.74,1989.05
"MT-ND1",1993.18,2178.42,1975.25,3021.12,2669.32,2571.14
"POSTN",3340.62,3443.9,3294.82,835.01,1113.17,1288.23
"B2M",2413.12,1949.62,2175.72,1791.71,1962.19,1870.82
"MT-ND4L",1701.44,1790.12,1698.65,2660.15,1938.69,1902.92
"MT-ND5",1793.04,2023.37,1791.73,2063.45,1889.49,1885.64
"MT-ND3",1565.46,2024.69,1592.16,2174.35,1818.68,1750.91
"TPT1",1702.92,1793.76,1622.06,1691.1,1622.36,1622.11
"ACTG1",1742.02,1659.2,1730.62,1633.22,1427.2,1448.16
"GAPDH",1337.57,1350.82,1363.9,1616.6,1506.39,1499.69
"MT-ND6",1217.03,1464.74,1222.62,1643.45,1360.87,1356.26
"TMSB4X",1619.6,1543.89,1662.92,1006.46,1033.13,1050.24
"PSAP",1568.63,1587.69,1499.25,883.38,969.98,1012.46
"ACTB",1320.62,1329.34,1457.86,1249.23,1037.4,1067.66
"COL6A2",1015.43,996.06,953.79,1277.23,1426.04,1373.48
"COL6A1",940.37,929.34,861.01,1242.92,1449.63,1435.1
"TGFBI",850.69,747.32,890.24,1357.15,1376.62,1336.62
"COL6A3",785.09,692.8,648.8,1279.06,1535.81,1535
"PPIA",916.1,859.04,917.53,1288.47,1184.95,1152.42
"COL3A1",1104.39,1358.56,1261.31,709.23,926.25,948.55
"RPLP0",1039.1,1118.38,1017.05,1080.82,1042.72,999.81
"TAGLN",1419.15,1359.53,1698.88,681.46,559.54,524.56
"RPL41",1061.51,1085.2,1028.11,1014.69,968.62,914.36
"CTSB",745.32,630.86,654.76,1246.65,1267.81,1201.73
"TIMP1",287.24,314.65,274.9,1774.52,1565.75,1523.6
"RPS2",912.06,944.37,877.95,901.25,924.44,882.31
"MT-ATP8",784.14,869.81,777.92,1352.14,844.73,768.76
"ITGB1",796.83,732.28,804.19,1082.92,976.54,989.84
"ANXA2",866.49,874.81,912.26,809.88,808.1,834.35
"SCD",908.62,490.23,641.41,1000.41,987.56,994.14
"CALD1",853.45,912.32,983.04,744.41,754.22,771.6
"RPL10",863.59,908.16,850.05,787.13,809.86,770.04
"RPS18",830.83,868,792.56,823.15,807.86,786.83
"LGALS1",705.64,692.27,716.78,956.47,829.97,843.2
"GREM1",517.43,529.93,573.08,1137.34,989.67,948.4
"UBC",719.53,705.07,715.99,790.33,856.17,852.27
"MMP2",811.1,712.5,667.51,811.03,785.88,692.88
"ANXA5",691.75,685.2,652.64,802.1,731.05,728.33
"CTSK",1095.04,831.87,1045.36,436.57,440.2,395.17
"RPL15",693.94,709.91,680.05,707.09,694.93,663.49
"TMSB10",663.63,568.18,625.71,893.1,708.25,685.7
"LDHA",390.85,425.64,449.17,1143.77,849.04,863.57
"TPM4",728.69,685.81,753.4,671.89,615.05,623.71
"S100A6",499.59,473.22,451.11,845.85,855.48,906.54
"PKM",494.3,467.98,469.09,872.08,836.88,841.65
"MYL6",767.13,737.43,831.25,563.7,509.48,538.32
"RPS3A",625.93,668.14,623.97,592.13,632.61,625.45
"RPL3",684.44,693.44,640.22,546.73,592.11,593.06
"RACK1",644.84,625.5,637.9,635.7,597.86,594.61
"LUM",688.91,701.84,706.5,490.95,557.77,542.02
"RPL26",657.35,663.76,616.25,585.45,580.45,555.77
"RPL13A",618.61,661.11,588.55,574.56,583.86,578.19
"RPL19",639.49,675.67,609.4,521.97,549.99,546.86
"CD63",663.4,568.09,603.26,570.75,553.68,543.01
"RPL4",589.71,618.26,567.04,556.11,588.61,571.28
"RPS24",561.22,594.85,539.24,610.44,575.35,559.15
"RPL7A",558.09,582.63,567.51,559.37,568.01,574.21
"EEF2",593.45,600.3,548.77,536.29,568.34,561.18
"HTRA1",487.5,500.98,491.93,634.59,604.34,574.36
"HSPA8",566.06,515.58,564.87,563.07,543.42,509.36
"CALU",522.78,512.5,538.49,584.06,535.4,547.72
"RPS8",552.49,587.42,541.86,522.35,523.54,512.85
"TIMP2",667.78,614.72,634.03,428.39,452.7,440.53
"RPS6",543.42,577.77,518.44,512.89,533.32,521.15
"FSTL1",639.29,611.65,647.51,420.57,423.98,434.41
"RPL37A",498.56,529.67,505.3,574.31,505.42,496.56
"ENO1",411.65,378.98,400.77,633.14,631.35,653.88
"ACTA2",764.66,858.95,1047.4,153.63,140.28,135.57
"EEF1G",531.1,562.45,525.29,466.48,487.77,489.91
"RPL7",514.06,538.84,509.76,486.8,501.4,498.26
"ANXA1",361.47,359.49,350.79,606.78,666.69,654.35
"RPL9",509.05,515.24,507.65,472.46,503.64,480.18
"RPL6",479.33,513.04,472.59,491.62,496.2,488.39
"RPL12",534.54,510.61,499.72,458.97,467.85,458.03
"COL11A1",665.99,712.87,727.55,219.22,255.63,274.7
"CALM2",355.71,331.24,355.96,637.21,578.36,597.45
"RPL39",496.17,491.85,455.99,507.7,457.52,446.61
"CDKN1A",495.51,446.08,480.49,438,494.05,486.2
"CD59",391.51,360.16,404.58,610.41,541.74,516.75
"RPS23",471.68,498.61,481.18,474.45,463.98,426.56
"RPL13",467.71,488.29,466.7,474.73,462.81,450.71
"TPM2",529.61,556.34,706.27,350.23,310.72,308.69
"CTSD",496.01,555.58,491.36,386.88,408.43,393.32
"NACA",489.92,485.43,466.18,425.65,429.3,431.26
"RPL23",463.45,500.85,470.18,445.4,425.79,406.76
"IFITM3",574.39,520.15,599.66,268.28,377.86,355.65
"RPS11",462.98,489.12,450.56,438.1,429.26,403.44
"RND3",324.69,249.31,292.99,541.72,627.48,626.48
"FLNA",550.15,541.17,612.12,311.56,308.79,318.32
"HLA-B",524.74,481.68,451.31,353.85,386.74,406.76
"TPM1",422.99,448.81,499.56,451.77,369.4,408.92
"RPL31",458.96,490.82,427.74,409.93,412.42,383.49
"RPL17",428.46,427.05,410.01,441.24,410.36,406.01
"CCN2",496.68,506.06,563.73,286.55,290.02,368.07
"RPS27",417.75,489.58,449.95,430.47,365.15,350.47
"MMP14",427.96,390.91,416.13,426.09,441.65,394.17
"EIF1",395.13,385.58,385.16,430.88,461.66,436.6
"ALDOA",376.26,360.67,374.22,489.95,442.49,441.53
"RPS19",439.89,455.31,429.1,388.68,391.82,362.63
"RPSA",402.62,439.87,415.66,396.58,406.24,397.77
"SERPINE2",167.13,166.4,146.13,710.18,642.07,615.87
"MT2A",127.24,104.18,83.99,962.54,615.62,521.64
"SERPINE1",179.71,202.44,209.88,676.67,563.84,580.02
"TMEM119",427.41,420.23,438.54,341.55,395.41,383.45
"S100A4",305.51,250.45,284.83,459.85,494.25,584.87
"CALR",378.04,355.74,366.54,443.44,431.74,393.06
"NQO1",199.34,162.29,172.51,633.18,599.64,596.66
"RPL27A",392.28,422.72,385.86,403.19,364.38,346.14
"SQSTM1",303.48,280.95,274.53,502.51,489.78,458.93
"S100A11",353.59,342.23,359.11,461.2,383.08,399.62
"DDX5",371.94,385.79,378.84,352.42,408.93,400.5
"RPS15A",391.21,389.08,377.58,388.32,381.35,369.63
"TUBB",364.84,364.66,407.9,423.56,347.7,364.51
