"","Cont.2hr.1","Cont.2hr.2","Cont.2hr.3","Cont.2hr.4","Cont.2hr.5","N793.2hr.1","N793.2hr.2","N793.2hr.3","N793.2hr.4","N793.2hr.5"
"DDX11L1",0,0,0,0,0,0,0,0,0,0
"WASH7P",45,44,36,47,47,44,39,48,36,39
"MIR6859-1",1,0,0,1,1,0,1,2,3,2
"MIR1302-2HG",0,0,0,0,0,0,0,0,0,0
"MIR1302-2",0,0,0,0,0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0,0,0
"LOC100996442",0,2,1,0,0,1,1,0,0,1
"SEPTIN14P18",0,1,1,1,1,0,0,0,2,0
"CICP27",0,0,0,0,0,0,0,0,0,0
"LOC729737",4,5,2,4,3,1,5,10,10,5
"LOC102725121",0,0,0,0,0,0,0,0,0,0
"WASH9P",53,54,48,59,49,51,38,47,43,41
"MIR6859-2",3,1,0,0,2,2,1,0,0,0
"LOC107985721",0,0,0,0,0,0,0,0,0,0
"RPL23AP21",1,4,3,2,1,3,1,3,6,3
"RPL23AP24",0,1,3,0,0,1,4,1,6,2
"LOC112268260",0,0,0,0,0,0,0,0,1,0
"WBP1LP7",0,0,0,0,0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0,0,0,0,0
"SEPTIN14P13",0,1,0,0,1,0,0,0,0,0
"CICP7",0,0,0,0,0,0,0,0,0,0
"LOC100132287",2,1,0,0,1,1,1,2,1,1
"LOC105378947",1,0,0,0,0,0,0,0,0,2
"LOC101928626",0,0,0,0,0,0,0,0,0,0
"MIR12136",2,0,0,0,0,1,1,0,0,0
"WBP1LP6",0,0,0,0,0,0,0,0,0,0
"OR4F16",0,0,0,0,0,0,0,0,0,0
"SEPTIN14P14",0,0,0,2,1,0,0,0,1,0
"CICP3",0,0,0,0,0,0,0,0,0,0
"LOC100133331",5,7,2,4,9,3,11,7,3,7
"LOC107984841",2,8,4,1,4,0,4,6,3,1
"LOC107984847",4,6,1,2,7,1,3,8,9,3
"LOC107984849",2,0,2,0,0,0,1,2,2,2
"LOC100288069",5,8,6,8,4,10,17,4,14,6
"LINC01409",2,3,4,0,3,0,3,4,0,2
"FAM87B",11,19,9,10,16,15,13,17,14,11
"LINC00115",7,13,4,9,7,9,6,6,12,5
"LINC01128",299,304,238,252,253,239,292,288,311,343
"LOC107984850",0,0,0,1,0,0,0,0,0,0
"FAM41C",0,0,0,0,1,0,0,0,0,0
