"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank","cellchat.prob","cellchat.pval"
"DermalPapilla","DermalPapilla","ADAM10","CD44",1,26688.5,0.0056622370663553,28045,-0.227628697880619,31669,-0.451455828689311,30504,0.834055561454339,12441,1,30783.5,0.00652118103679211,0.24
"DermalPapilla","DermalPapilla","ADAM10","GPNMB",1,26160.1,0.00538841079361304,28429,-0.0076259726663562,27610,-0.188020588586512,27943,0.763166879774134,20706,0.648,26112.5,0.00113929380316509,0.07
"DermalPapilla","DermalPapilla","ADAM10","NOTCH2",1,23129.1,0.0101182041799689,22259,0.11575809600405,23745,0.0724551980116429,20803,0.72158110120004,24311,0.079,24527.5,0.00113929380316509,0
"DermalPapilla","DermalPapilla","APOE","LRP1",1,22555.4,0.00981882228247066,22617,0.13299725684865,23145,-0.529334872043777,30912,0.850759986066505,10297,0.511,25806,0.00341011117244154,0.02
"DermalPapilla","DermalPapilla","APOE","SDC2",1,15802.6,0.0176543572330266,15478,0.707026774916414,7636,-0.12470950654195,26923,0.890345319832673,5462,0.00700000000000001,23514,0.016821108462603,0
"DermalPapilla","DermalPapilla","APP","APLP2",0.0702921000311314,7047.7,0.0189039027968519,14645,0.974024543773097,3989,0.846957516622247,3184,0.926873263898868,2067,0,11353.5,0.0436896178136776,0
"DermalPapilla","DermalPapilla","APP","CD74",1,22715.8,0.00486730206860224,29094,0.232594227543573,19797,-0.717505227303307,31615,0.883574575255435,6245,0.889,26828,0.00735013940012903,0.48
"DermalPapilla","DermalPapilla","APP","DCC",0.0224899838033285,5600.1,0.100584474232983,1907,1.93591896300689,474,0.69244371489688,4739,0.856585851121096,9527,0,11353.5,0.00735013940012903,0
"DermalPapilla","DermalPapilla","APP","LRP1",0.031879155511882,8218.9,0.0236745665478047,12174,0.745798141941383,6928,0.651656866835344,5280,0.891246450386074,5359,0,11353.5,0.00735013940012903,0
"DermalPapilla","DermalPapilla","APP","LRP10",0.176975912911,10568.5,0.0154224879436971,17152,0.596225364942369,9755,0.519951827904439,7189,0.873711589374355,7393,0,11353.5,0.00735013940012903,0
"DermalPapilla","DermalPapilla","APP","NOTCH2",0.122106146643962,10591.7,0.017018636827737,15925,0.600759605264087,9648,0.540320257802718,6789,0.858859455209584,9243,0,11353.5,0.00735013940012903,0
"DermalPapilla","DermalPapilla","APP","RPSA",0.563035095160915,17521.1,0.011224494107259,21001,0.178811744501359,21583,0.0581694847343326,21375,0.944266066060123,790,0.001,22856.5,0.0720873077462615,0
"DermalPapilla","DermalPapilla","ARF6","SMAP1",1,28308.9,0.00552760342743287,28242,-0.259064086794585,31952,-0.442055612771766,30449,0.768966226153705,20118,1,30783.5,0.00113929380316509,0.68
"DermalPapilla","DermalPapilla","BMP7","ACTR2",0.0224899838033285,5806.3,0.0540379252356001,4953,2.73747420742535,215,0.563544737972471,6432,0.885089969010953,6078,0,11353.5,0.0135023115394626,0
"DermalPapilla","DermalPapilla","CALM1","PTPRA",1,22672.2,0.0101143676899205,22265,-0.0660327261849712,29017,-0.244492355784338,28648,0.888009133571494,5729,0.994,27702,0.00995288380612944,0.33
"DermalPapilla","DermalPapilla","CALM3","AR",0.208403007623242,14210.9,0.0245029515386693,11801,0.42724825879763,14005,0.191171523150413,16173,0.790703405966218,17722,0,11353.5,0.00113929380316509,0
"DermalPapilla","DermalPapilla","CALR","ITGAV",0.22664975188643,11993.1,0.0144036999393019,18022,0.41124755555472,14486,0.352082607045393,10847,0.892226150031474,5257,0,11353.5,0.00882641712172957,0
