"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank","cellchat.prob","cellchat.pval"
"DermalPapilla","DermalPapilla","AGTRAP","RACK1",0.525189822349572,14752.2,0.0153584913192309,15181,0.35434074049039,14606,0.0570355593844767,19967,0.900811389863977,4413,0.024,19594,0.0139789346288857,0.05
"DermalPapilla","DermalPapilla","APOE","LRP1",1,21151.5,0.0102805646747036,19492,0.0548723405584746,23766,-0.591306627197361,29638,0.875965758563222,7101,0.799,25760.5,0.00555462640927552,0.1
"DermalPapilla","DermalPapilla","APOE","SDC2",1,13346.8,0.0231347564715376,10918,0.778544454853669,6280,-0.0710076934671462,24019,0.916068939390268,2971,0.218,22546,0.0244192200732891,0
"DermalPapilla","DermalPapilla","APP","APLP2",0.869045617663469,15449.1,0.00811826056858267,22083,0.30701162169824,15937,0.250793895059606,12891,0.886188856811995,5890,0.055,20444.5,0.00708366849694349,0.25
"DermalPapilla","DermalPapilla","APP","CD74",1,22548.4,0.00344747328785246,28427,0.114596638887372,21796,-0.475226197965067,29050,0.858043196901915,9150,0.5,24319,0.00448101224887732,0.18
"DermalPapilla","DermalPapilla","APP","LRP1",0.341957495940088,12396,0.0167650628008407,14250,0.494199728898332,11143,0.370403851011798,9525,0.86201053221346,8737,0.005,18325,0.00448101224887732,0
"DermalPapilla","DermalPapilla","APP","RPSA",0.802861463648762,17059.3,0.00945191402171004,20372,0.174175207594567,19939,-0.00362248776979401,22106,0.939171113761963,1078,0.145,21801.5,0.054203416917075,0.03
"DermalPapilla","DermalPapilla","BMP7","ACTR2",0.184055345018083,8878.3,0.0436220315655301,5712,1.25134763917883,2172,0.356128080645696,9870,0.856984729547917,9274,0.001,17363.5,0.00412449215399251,0
"DermalPapilla","DermalPapilla","CALM1","PTPRA",0.988125609049656,15820.9,0.0117272253103908,18040,0.207036487260391,18954,0.153998110650348,16258,0.913169542779759,3195,0.23,22657.5,0.0114958461713069,0.16
"DermalPapilla","DermalPapilla","CALR","ITGAV",0.707063197234928,16453.5,0.0117894350643417,17994,0.246880684808665,17687,0.0931350663315804,18584,0.878226029378899,6812,0.097,21190.5,0.00838780128854877,0.01
"DermalPapilla","DermalPapilla","CALR","LRP1",0.564522751373594,14444.9,0.0137756757488657,16369,0.338276697880453,15064,0.203923499617447,14426,0.88426687929635,6108,0.046,20257.5,0.00838780128854877,0.02
"DermalPapilla","DermalPapilla","CD99","CD81",0.10930635618625,7321,0.0109271148209809,18849,0.870211489639871,5225,0.787888548099472,3423,0.947986170135066,537,0,8571,0.0797940361336868,0
"DermalPapilla","DermalPapilla","CLEC11A","ITGB1",0.00765437415334121,4061.2,0.0392800685036592,6401,1.48048335825326,1185,0.890386778246782,2683,0.93405937268479,1466,0,8571,0.0546109361901378,0
"DermalPapilla","DermalPapilla","CNTN4","PTPRG",0.10930635618625,6564.8,0.108840341061929,1589,1.60443568320362,871,0.598989151238583,5381,0.794855673148736,16412,0,8571,0.000865697066769923,0
"DermalPapilla","DermalPapilla","COL11A1","ITGA1_ITGB1",0.00765437415334121,4563.2,0.0453252866765636,5442,1.47184865959053,1212,0.805024837675275,3289,0.902146233094651,4302,0,8571,0.00842971204999338,0
"DermalPapilla","DermalPapilla","COL12A1","ITGA1_ITGB1",0.00765437415334121,5835.4,0.0297378636927389,8479,1.08970383562188,3199,0.673099309278385,4500,0.900666661114451,4428,0,8571,0.0116527694662937,0
"DermalPapilla","DermalPapilla","COL14A1","CD44",1,21346.1,0.00838946013834912,21712,-0.00344611545596418,25499,-0.165922475318616,26093,0.876904844626054,6987,0.92,26439.5,0.00652906033987199,0.05
"DermalPapilla","DermalPapilla","COL14A1","ITGA1_ITGB1",0.0168987000298732,6366.8,0.025281734042916,10042,0.928326741432554,4577,0.714246984435279,4083,0.899373005518844,4561,0,8571,0.00619766995601639,0
"DermalPapilla","DermalPapilla","COL1A1","CD44",0.345123592051027,10111.6,0.0109751234432556,18805,0.467894814816327,11742,0.370128770210793,9531,0.927862696086739,1909,0,8571,0.0377323704293244,0
"DermalPapilla","DermalPapilla","COL1A1","DDR2",0.00765437415334121,4040.2,0.0505223574004595,4794,1.27787337885779,2036,1.29190277326917,955,0.906475483903698,3845,0,8571,0.00970781681234876,0
"DermalPapilla","DermalPapilla","COL1A1","ITGA1_ITGB1",0.00502866290517638,3940.6,0.0330736599739255,7627,1.39966767170484,1493,1.25029822996469,1101,0.941648607758232,911,0,8571,0.0358744080774946,0
"DermalPapilla","DermalPapilla","COL1A1","SDC1",0.00358279539770169,3921.4,0.0892806382283124,2159,1.04670365890853,3510,0.977849676633833,2201,0.913441857188379,3166,0,8571,0.0129020056473529,0
"DermalPapilla","DermalPapilla","COL1A2","CD44",0.210177914133554,9026.2,0.0104409731646897,19321,0.539166883183583,10235,0.570084590775627,5727,0.93639841601248,1277,0,8571,0.0510089077441798,0
"DermalPapilla","DermalPapilla","COL1A2","ITGA1_ITGB1",0.00276096701791433,3788.2,0.0314639920025712,8014,1.4709397400721,1217,1.45025405052952,638,0.948643383317685,501,0,8571,0.0485301718585166,0
"DermalPapilla","DermalPapilla","COL1A2","SDC1",0.00185951785775752,3502.6,0.0849354226116711,2322,1.11797572727579,2968,1.17780549719867,1366,0.923543332019697,2286,0,8571,0.0176015256466373,0
"DermalPapilla","DermalPapilla","COL21A1","ITGA1_ITGB1",0.0089738288310601,7464,0.0316799215799694,7956,0.924629925948064,4615,0.474973617837575,7330,0.860910501705067,8848,0,8571,0.002460516860949,0
"DermalPapilla","DermalPapilla","COL3A1","DDR2",0.00566973055564401,3469,0.0585196376479532,3949,1.49251472075333,1151,1.51657603261454,544,0.913956499160766,3130,0,8571,0.0113877227838027,0
"DermalPapilla","DermalPapilla","COL3A1","ITGA1_ITGB1",0.000961095397310127,3441.4,0.0383089526489145,6561,1.61430901360038,851,1.47497148931005,597,0.946482235885044,627,0,8571,0.0418908142718714,0
"DermalPapilla","DermalPapilla","COL4A1","CD44",1,18344.7,0.00978321054293519,19997,0.264571665477468,17180,-0.0950916947824419,24614,0.894102987384085,5078,0.606,24854.5,0.0145157897099092,0.01
"DermalPapilla","DermalPapilla","COL4A1","ITGA1_ITGB1",0.00765437415334121,5238,0.0294818168217687,8552,1.19634452236599,2473,0.785077764971453,3449,0.913740815271722,3145,0,8571,0.0137846478723213,0
